CODIGO,DESCRIPCION,LATITUD,LONGITUD,LINES
70200,GUADALAJARA,40.534668,-3.2985719,C2-C8-C8A-C8B-C11
70105,AZUQUECA,40.56104,-3.265446,C2-C8-C8A-C8B-C11
70108,COSLADA,40.4241947,-3.5602359,C2-C8-C8A-C8B-C7
18001,MADRID-RECOLETOS,40.423371,-3.690995,C2-C8-C8A-C8B-C10-C7
18005,PIRAMIDES,40.402516,-3.711374,C10
10000,MADRID-PRINCIPE PIO,40.421389,-3.718968,C10-C7
35609,EMBAJADORES,40.404609,-3.702592,C10
18101,SOL,40.416856,-3.702904,C3-C4-C4A-C4B
70002,ASAMBLEA DE MADRID-ENTREVIAS,40.3814976,-3.667215,C2-C8-C7
37001,VILLAVERDE ALTO,40.341622,-3.712565,C4-C5
60100,VILLAVERDE BAJO,40.3555397,-3.6832514,C3-C4-C4A-C4B
60101,SAN CRISTOBAL INDUSTRIAL,40.3320318,-3.6963666,C3
60107,SAN CRISTOBAL DE LOS ANGELES,40.3419854,-3.683232,C3
10001,ARAVACA,40.448345,-3.786191,C7-C10
35603,CUATRO VIENTOS,40.377714,-3.791574,C5
35702,DOCE DE OCTUBRE,40.379224,-3.698976,C5
70001,VALLECAS,40.382264,-3.624931,C2-C8-C8A-C8B-C7
70003,EL POZO,40.3765168,-3.6564132,C2-C8-C8A-C8B-C7
70109,SANTA EUGENIA,40.3877971,-3.6087501,C2-C8-C8A-C8B-C7
17001,FUENCARRAL,40.5024656,-3.6817503,C4-C4A-C4B
97200,Mirasierra,40.499759,-3.709755,C7-C8-C8A-C8B
97201,RAMON Y CAJAL,40.4880223,-3.6935145,C7-C8-C8A-C8B
97100,PITIS,40.4956316,-3.7256015,C7-C8-C8A-C8B
17000,MADRID-CHAMARTIN,40.4732797,-3.6818974,C4-C4A-C4B-C3-C10-C7-C8-C8A-C8B-C2-C1-C11
35703,ORCASITAS,40.367081,-3.704244,C5
35704,PUENTE ALCOCER,40.350418,-3.705122,C5
98305,AEROPUERTO T-4,40.491691,-3.593988,C1
35601,FANJUL,40.38367,-3.768496,C5
35602,LAS AGUILAS,40.381009,-3.780187,C5
18000,MADRID-ATOCHA CERCANIAS,40.406556,-3.689508,C4-C4A-C4B-C3-C10-C7-C8-C8A-C8B-C2
18003,MENDEZ ALVARO,40.395419,-3.678137,C5-C10
18004,DELICIAS,40.400381,-3.692712,C10
35701,MENDEZ ALVARO,40.395735,-3.677847,C10-C5
18002,MADRID-NUEVOS MINISTERIOS,40.446612,-3.692207,C4-C4A-C4B-C3-C10-C7-C8-C8A-C8B-C2
35600,ALUCHE,40.385738,-3.760807,C5
35608,LAGUNA,40.399006,-3.744225,C5
17003,EL GOLOSO,40.558808,-3.713966,C4-C4B
17009,UNIVERSIDAD-CANTOBLANCO,40.543818,-3.700217,C4-C4A-C4B
19001,UNIVERSIDAD PONTIFICIA DE COMILLAS,40.55412,-3.683267,C4-C4A
98003,FUENTE DE LA MORA,40.484729,-3.662833,C1-C11
70100,VICALVARO,40.401043,-3.5952733,C2-C8-C8A-C8B-C7
98304,VALDEBEBAS,40.48207,-3.616414,C1
19002,VALDELASFUENTES,40.547425,-3.654149,C4-C4A
19003,ALCOBENDAS SAN SEBASTIAN DE LOS REYES,40.546744,-3.635149,C4-C4A
10007,MAJADAHONDA,40.474347,-3.845334,C7-C10
10002,POZUELO,40.447225,-3.800145,C7-C10
10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,40.465299,-3.807828,C7-C10
10005,LAS ROZAS,40.494215,-3.868181,C7-C10
10100,PINAR DE LAS ROZAS,40.522282,-3.882258,C10-C8-C8A-C8B
